Total Experience,Team Lead Experience,Project Manager Experience,Certifications,Salary
7,2,4,1,77318.07054736716
4,0,2,3,64951.95098037084
13,4,8,3,106058.18520397332
11,3,2,1,89649.94485058937
8,1,6,3,82206.01968666448
13,7,1,4,113993.23585252359
5,0,1,4,70804.5972397062
7,1,2,4,75522.5984098542
10,0,4,0,87484.77202255368
3,0,1,1,58830.90255121995
7,1,1,0,79865.6231879332
11,5,3,3,99348.21096099047
11,4,1,0,91463.48927997885
8,1,5,3,84738.58462905139
5,4,0,3,66645.6192396575
4,1,0,2,59366.16265545097
8,2,4,4,78030.37496800472
8,2,3,3,83214.71547381853
3,2,0,2,72662.57499742546
6,2,2,4,87156.50073096316
5,0,1,3,70690.25550720378
2,0,1,3,61004.22237472228
8,6,0,0,76994.7113292363
12,10,1,0,104286.6310013299
14,5,0,4,100061.0812404588
6,3,0,3,72395.76200874442
2,1,0,1,57659.28090707605
12,3,0,0,89639.54711151436
5,0,1,4,58103.50094812106
1,0,0,3,58239.55128058767
12,2,7,3,93136.28487130097
10,2,4,1,89696.23432055574
6,2,2,4,86370.41334874986
13,12,0,3,109903.07704206789
12,1,5,0,80348.56238626836
9,2,2,1,82069.97889059945
1,0,0,4,60504.79817499286
11,2,6,1,103291.73727110297
11,4,1,0,85852.25202773791
10,4,0,4,92483.4961161826
12,1,1,1,87173.44771609973
12,11,0,2,108470.25822847932
14,9,3,0,126221.71673508518
14,12,1,0,109485.14835802423
14,5,4,0,107268.69830747286
3,0,0,2,62338.46585882716
12,5,5,2,107428.93162469674
7,0,3,3,75989.91576735448
4,0,3,1,67040.25269752051
9,8,0,3,92541.75716289104
3,1,1,1,63845.63470622554
5,1,3,2,69284.03862251295
3,0,1,2,64107.85944928025
7,5,1,3,81651.94831978183
5,1,2,4,72885.50196951094
9,8,0,3,94353.6859315751
7,1,0,1,79130.25125386084
2,0,1,3,58243.03138205757
4,2,1,0,58134.837658965596
9,8,0,1,99809.60750356996
12,5,0,1,91971.33849568691
14,7,1,4,105731.1683067559
2,1,0,2,56021.69352978254
10,0,5,1,92372.19046585409
9,3,0,2,73321.62893010653
10,0,5,3,102188.74266829996
5,0,1,0,71280.28404533026
2,0,1,4,60116.1945706458
4,0,2,2,64725.529996918565
12,3,1,1,94927.77037428829
12,7,1,2,104605.6121418967
7,5,1,1,85726.07792975029
12,9,2,2,109778.02233001724
13,11,0,1,111947.90340627625
8,6,1,3,87513.30789846338
3,1,1,1,61743.63358173244
14,7,2,1,107525.4585982366
1,0,0,0,58668.85048433532
4,1,2,1,69467.7836114043
2,0,1,0,42298.0568266786
8,1,4,4,85279.5038826488
4,1,2,0,66973.68097359387
2,0,0,3,57406.456217770516
14,7,2,0,106057.40773455557
6,2,0,4,79620.56359993007
6,2,1,3,79237.6323106143
10,6,2,2,91135.61166088196
4,1,2,2,69035.26143562267
6,2,3,0,70141.71632729357
13,11,0,0,104101.90917605534
2,0,0,4,54866.413877050174
10,1,6,4,94311.96736191379
12,9,1,1,110265.62522688044
2,1,0,4,62565.427100486464
10,2,1,1,89125.47893423999
14,2,1,3,101080.8914355748
4,2,0,0,62792.59202388524
14,8,3,3,114659.6127233697
8,6,0,4,92002.04762613842
14,4,2,3,107271.45664906787
7,3,0,3,84444.56685737321
12,9,0,3,109041.51923600532
9,6,2,4,94757.24103770792
14,8,4,3,118850.75119158214
8,0,4,1,78367.3937037547
5,1,2,4,66590.62674386142
13,11,1,3,112684.66518028118
2,0,1,4,55275.48677596776
5,0,1,2,63624.108625128094
8,4,2,1,83777.40664642242
10,3,5,3,88537.9003950002
9,8,0,2,92460.1923518048
12,3,3,2,86531.92666523108
